ID,KIR2DL1,KIR2DL2,KIR2DL3,KIR2DL4,KIR2DL5A,KIR2DL5B,KIR2DP1,KIR2DS1,KIR2DS2,KIR2DS3,KIR2DS4,KIR2DS5,KIR3DL1,KIR3DL2,KIR3DL3,KIR3DP1,KIR3DS1
HG02886.bam,`0020105;`00303,,`0010112;`00501,`022;`0050101,`0010103,,`0030102;`010,`0020103,,,`0010106,`0020111,`0310102,`0010302;`00601,`00205;`035,`0150101;`0030209,`0130101
HG03098.bam,`0030204,`0030108,`0010101,`0010304,,`00601,`0020109,`0020103,`0010123,,`0010106,`0020111,`0150102,`040;`01901,`055;`050,`0100102,
HG03453.bam,`0040102;`0030209,`0030103,`0010107,`0010304;`0010305,,`00601,`010;`0020109,,,,`0010106;`0010106,`0070102,`0150101;`0310101,`01301;`0010302,`01406;`0090101,`0030402;`0030202,
HG03486.bam,`0030204;`00303,,`0010102;`00501,`0010304;`022,,,`0020109;`010,,,,`0010106;`0010106,,`0150101;`0310101,`01001;`0010302,`01502;`035,`0100102;`0030209,
HG03492.bam,`0030225;`0020112,,`0010112;`0020103,`0010305;`0110101,,,`0020109;`0030102,,,,`0030104;`010,,`0080101;`0050101,`00901;`0010302,`0020202;`00602,`0030202;`005,
HG03516.bam,`0040109;`0030205,`0010105,`0010107,`0010303;`0080101,,`0020107,`0010201;`0020109,,`0010111,`0010301,`0010104;`0030101,,`0250103;`0010103,`0020102;`0010102,`0140203;`055,`0030101;`0030202,
HG03540.bam,`0030204;`00303,,`0010101;`006,`0080203;`0010307,,,`0020109;`007,,,,`0010108,,`05901;`01701,`01001,`01502;`055,`017;`0100102,
HG03579.bam,`0040101;`00303,`0010107,`00501,`0010307;`01202,,`017,`0010201;`010,,`0010102,`0010301,`0010108;`0030101,,`01701;`022,`01001;`0010102,`032;`0410103,`0030101;`0030209,
NA18906.bam,`0030212;`0040102,,`0010107;`0020103,`022;`0010304,,,`0020109;`0030102,,,,`0010106;`0010106,,`0310101;`0150101,`0010302;`095,`0090101;`01102,`0030202;`0030402,
NA19240.bam,`00303,`0030103,`006,`01201,,`003,`007,`0020103,`0010130,,`0010106,`00502,`03501,`00601;`105,`022;`055,`0100102,
NA20129.bam,`00303,`0030105,`006,`0050101;`0080204,`0010104,,`007,`0020103,`0010108,,`0060101,`0020111,`0040102,`0070102;`00301,`0040201;`055,`007;`0100102,`0130101
